,index,rm_comp,order,rm_scl,$	ilde{x}_1$,$	ilde{x}_2$,$	ilde{x}_3$,$s_1$,$s_2$,$s_3$,$p_1$,$p_2$,$p_3$,seed,raw_mean,best_pred,best_sem
10,10,True,False,False,1.0000000000000013,4.850729684367199,3.379731736444126,0.5300321385583714,1.0,0.7408733464642058,0.07804552217727831,0.5329539469256525,0.3890005308970692,10,0.736,0.7362329023256116,4.508189792466621e-05
11,11,True,False,False,5.0,1.0,4.32476813225621,0.6123249873267976,0.8424961641617978,0.4337983431528446,0.560176878165171,0.22387293904095623,0.2159501827938728,11,0.725,0.74499565447252,6.1328788731942e-05
12,12,True,False,False,1.0000000008577914,4.50408864232295,3.443901471186259,0.8352722995387583,0.2481211451706726,0.3239675831649453,0.4281271004044723,0.5718728989569957,6.385320050483756e-10,12,0.752,0.7550176137990433,2.9857203852198863e-05
13,13,True,False,False,3.669781352174772,1.0,4.531297326803366,0.8998838263762783,0.7255381575538153,0.3251683251981985,0.5649197444421138,0.22143648175086994,0.21364377380701627,13,0.713,0.7372325208760528,6.558002212721502e-05
14,14,True,False,False,1.0,4.499837825878705,4.706695086584577,0.7059995080795839,0.9999999999999999,0.5456850762688773,0.19071219113039514,0.3263477419436816,0.4829400669259233,14,0.708,0.7226248089325102,0.0001709778469917366
15,15,True,False,False,1.4394807593973324,4.144566117214293,1.6426813953513975,0.9135486943099487,0.3609469280439843,0.9174293762379735,0.3421364818510991,0.4868932018442351,0.17097031630466586,15,0.733,0.7410124791609133,1.012890338891191e-05
16,16,True,False,False,3.630190965857925,1.0,4.136545107535838,0.6740284019583624,0.956577817264263,0.7296657639658555,0.42441563974790536,0.21175725305091647,0.36382710720117817,16,0.704,0.737828672350575,4.021233441845912e-05
17,17,True,False,False,1.0,5.0,2.801438901455226,0.922371803593068,0.42808989760379834,0.7441720502602396,0.34295759585455554,0.4088538895151356,0.2481885146303089,17,0.741,0.7743193862297263,8.547543758562643e-05
18,18,True,False,False,3.4345196882037907,1.000000000000001,4.616078946194957,0.1850253520405128,0.8855588693804194,0.8238358905515321,0.2053437109995075,0.1503751685268911,0.6442811204736014,18,0.735,0.7428436377847291,1.4656350250339877e-05
19,19,True,False,False,1.0000000000000007,3.8075754816909377,2.6586028117200784,0.7009210725847955,0.6885604582571617,0.8834752487575431,0.09956314579667051,0.29099785977760473,0.6094389944257248,19,0.717,0.7311141555644775,4.198072384815418e-05
20,20,False,True,False,4.338344337020783,1.000000000000001,1.9910008584077028,0.16465865252497047,0.7095905190227622,0.7095905190227635,0.3519523371632517,0.18185233033931875,0.43953675858872215,10,0.761,0.7579619126120158,1.157975128833685e-05
21,21,False,True,False,5.0,1.859356987837827,3.0589074194353185,0.3658974884260009,0.8223952950382898,0.8223952950382898,0.9368301731475448,0.6042818520527822,0.7969905448847493,11,0.73,0.724658330792741,2.7468715545358176e-05
22,22,False,True,False,4.7424929970999585,1.0,5.0,0.5654001960489698,0.8200647408316755,1.0,0.5328301700150537,0.18767791730683012,0.3667946617147462,12,0.789,0.7493066793653449,0.0002168048751042592
23,23,False,True,False,5.0,1.0,4.482781130857125,0.568985116510489,1.0,1.0,0.4023675910566645,0.159123899233646,0.609093999088809,13,0.776,0.7544848968187328,4.135610542973083e-05
24,24,False,True,False,3.4399993974158267,1.2007191276177507,3.1186517025197893,0.3447389482282335,0.7004223145307658,1.0,0.7516600543368723,0.7181532104756092,0.7626263524481718,14,0.71,0.721936261743369,2.1005280685560176e-05
25,25,False,True,False,4.999999999839357,1.000000000132434,2.328579493213626,0.20260927530442846,0.7878130349721233,0.7878130349838497,0.8575230662919174,0.754180876897561,0.5799574999332793,15,0.724,0.759505569848869,5.866513560622425e-05
26,26,False,True,False,4.999999999999995,1.000000000000001,1.6670701282558873,0.3993042470571846,0.7765772816123078,0.7765772816123118,0.9101360532112749,0.5423045904598303,0.3573916314820407,16,0.732,0.7453198410479932,3.8127811295506696e-05
27,27,False,True,False,4.886615332945707,1.0000001428924432,3.685691427156428,0.10000000268294686,0.7875035074842349,0.9999999534516563,0.9496761709167104,0.6017429959221059,0.0288497090317116,17,0.748,0.7578148299098509,3.1179153496601206e-05
28,28,False,True,False,4.5553738709343845,1.0,2.683332969345269,0.3496951028897496,0.9047715944821973,0.9338167897042481,0.7947617293606478,0.47093857667869365,0.29805923654247385,18,0.744,0.7654118087553636,4.414968216348596e-05
29,29,False,True,False,1.0000000000000002,4.865397964401378,3.9974240150601634,0.5685806469548847,0.7202205144254046,0.8772674794756683,0.2082452294630814,0.6773472146511706,0.030746892857680633,19,0.744,0.7431206905867851,5.157765426008733e-05
30,30,False,False,False,4.276184434125676,1.0,1.4422352568457308,1.0,0.6084605567851252,0.6642963237157791,0.9870918323040974,0.15988234828042244,0.9560055653045558,10,0.735,0.7438449363159553,2.698020999730412e-05
31,31,False,False,False,1.3378641761877392,5.0,4.471209900082435,0.7214342094300839,0.1,0.6603431689389008,0.5218315756520655,0.4995640006018107,0.6227936812343359,11,0.752,0.7471024130075331,2.5743300766690708e-05
32,32,False,False,False,4.782473705580123,1.0,5.0,0.9397666386452292,0.881430861666728,1.0,0.06583745124546005,0.07141342933048472,0.09922678928194516,12,0.716,0.7467004116443823,8.070095781035567e-05
33,33,False,False,False,4.631632776557703,1.1164822241695498,3.99383122502116,0.6068851145992854,0.94035292662067,0.9635333969345832,0.2925389190493441,0.1288698937606053,0.638024937871815,13,0.75,0.7405595472742214,2.412457302707655e-05
34,34,False,False,False,1.0,2.5960261127476483,3.6187049057355734,0.8769923332933229,0.5029827173248985,0.7786276115687236,0.6632056597838937,0.4502495889868373,0.6755711416538136,14,0.715,0.7144356223847138,2.7486082085332862e-05
35,35,False,False,False,1.0,3.772607519268227,3.062159504088568,0.8732025935188358,0.3670243913443927,0.841089747620186,0.39860633443558285,0.5364020453943316,0.15881287889984394,15,0.725,0.7450099275473349,1.7820293415318025e-05
36,36,False,False,False,4.487526175585993,1.0,5.0,0.9750123820365786,1.0,0.6371729194962986,0.3110768507770559,0.07143144068671287,0.8302438332117107,16,0.727,0.7474239902419225,0.00012624217019164316
37,37,False,False,False,4.920443999118788,1.0,1.221688981616606,0.1,0.8799574417104562,0.924802917190819,1.0,0.9142019708064169,0.7455923936390088,17,0.75,0.7627976315694645,3.078389647145716e-05
38,38,False,False,False,1.0,4.306104987527466,3.678721456803513,0.9977255619948668,0.6613046086741571,0.8672291279587787,0.30636887770431565,0.6109331316512376,0.5067462531906953,18,0.761,0.7474519148883177,9.05838787788825e-05
39,39,False,False,False,1.0,5.0,1.0,0.7265836840531104,0.31585542190903504,0.577076470243223,0.48276886109210326,0.9278620610386185,0.6191968488094847,19,0.77,0.7745494090411948,2.0773850162131855e-05
