,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1_div_mu3,std2_div_mu3,std3_div_mu3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
14,0.751,22,22_0,8.221215234477464,47.42611177270836,18.799621294715397,18.7996212947154,57.476034224441676,0.31733483334960777,0.9459837958519907,0.07984242733779551,COMPLETED,GPEI,488.723797,0.7499859880944232,0.014671758828903996
16,0.623,23,23_0,42.10103729323324,17.272217713348898,59.468747349472245,69.07356904331715,83.67849675133647,0.46551701724152095,0.5743428565162001,0.615000302572644,COMPLETED,GPEI,229.276596,0.6231984215132425,0.014779487522066636
17,0.664,24,24_0,44.017408413672825,15.405518518316482,0.002,38.639027712318125,99.56804885371088,0.7967097703972228,0.5264771655415788,0.5474329634752299,COMPLETED,GPEI,358.19734,0.6639215350211337,0.01477278196797921
18,0.623,25,25_0,43.7599922334668,11.228275831283105,39.5840934348915,39.5840934348915,39.5840934348915,0.6443607414504072,0.5396943293039103,0.4500928559063983,COMPLETED,GPEI,278.383104,0.6234894486812477,0.01475973837154821
19,0.724,26,26_0,39.04029261946392,8.209243562553306,4.769290123414593,67.2959489062932,67.2959489062932,0.8433590592139668,0.4533275439102694,0.44945693868706277,COMPLETED,GPEI,324.70734,0.723360764959663,0.014765217543785666
20,0.761,27,27_0,44.81053466120651,3.1565127261832835,16.614212492526516,75.88015955431936,75.88015955431936,0.9030659957682485,0.37080661388437436,0.5943058093520837,COMPLETED,GPEI,639.895256,0.7570403827063688,0.014678283241842572
21,0.677,28,28_0,43.62535718920286,29.601918602983407,2.738716209621556,64.31521573498232,69.74162852801126,0.7006466316812574,0.5329514996225841,0.2966432724653206,COMPLETED,GPEI,310.17945,0.6764491106290139,0.014792155491001841
22,0.601,29,29_0,41.30065797139232,7.778541913802953,3.0060119179533467,26.77168519449692,65.89978870835776,0.5249577167724119,0.16378447335943017,0.3500529953406226,COMPLETED,GPEI,47.822253,0.6014511252166597,0.014774009279975714
23,0.755,30,30_0,42.24375988434199,4.0310802343382,45.94408087161819,46.6722026268135,60.57619103677775,0.9425043733765596,0.6975455548494754,0.5240255512985498,COMPLETED,GPEI,513.560006,0.7498168238199927,0.014460140964954295
24,0.702,31,31_0,6.977069737903318,39.952285976730636,13.312600459334769,13.312600459334766,100.0,0.4620674368594917,0.750849097655797,0.33629007759207,COMPLETED,GPEI,455.914729,0.7012116492997952,0.014438269340010189
25,0.693,32,32_0,6.966190393524369,38.89441811801757,13.191387114161056,13.191387114161056,98.95130684230182,0.46653595446826684,0.7300110367656338,0.3443302769772562,COMPLETED,GPEI,413.819132,0.6931642860863716,0.014445706263512723
26,0.742,33,33_0,7.131021926754062,50.0,19.216082988339924,43.74570907187657,63.9044360601834,0.22307734951709546,1.0,0.0,COMPLETED,GPEI,465.283626,0.7413595560443104,0.014615227129208744
28,0.737,34,34_0,7.134200223662822,50.0,0.002,40.90976334546599,53.91600720629342,0.4961124702608928,1.0,0.1316416903495542,COMPLETED,GPEI,234.446836,0.7366416458748236,0.014725669412593708
29,0.686,35,35_0,7.410623028955514,50.0,1.6701724590115246,11.843671849313376,76.12013500760321,0.09831065854415291,1.0,0.07527632172364267,COMPLETED,GPEI,889.638716,0.6863445497084554,0.014733353807396384
30,0.653,36,36_0,41.15372374683753,21.09203579570168,6.633545659283374,72.07183778510097,72.07183778510095,1.0,0.3977958742903755,0.6033559869996761,COMPLETED,GPEI,332.6039,0.6526401165631955,0.014791163160537147
31,0.702,37,37_0,7.2830439977755965,38.42586030524924,36.229776122864855,36.229776122864855,58.9095813647751,0.43281534597627797,1.0,0.0,COMPLETED,GPEI,382.814217,0.7013984238718198,0.014784274400761702
32,0.741,38,38_0,42.24464493293618,6.262895784618531,0.633501628162423,86.53292123293839,86.5329212329384,1.0,0.37821957388636646,0.5442956968489886,COMPLETED,GPEI,334.861273,0.7408390709498531,0.014746781506614359
33,0.0,39,39_0,43.7339723977901,0.02,25.250881280737453,76.72098088205075,76.72098088205075,1.0,0.6914888821459656,0.34915708761866887,COMPLETED,GPEI,46.891557,0.004146424868130771,0.014760552108977167
34,0.726,40,40_0,41.9621165156056,4.807584645034978,29.67948474101757,63.442943667105354,63.44294366710537,1.0,0.4394785381633572,0.836804481864519,COMPLETED,GPEI,370.533553,0.725275544823959,0.01470162638580882
35,0.719,41,41_0,41.66224898712354,4.986494128205342,35.82783097028937,39.47442346204647,57.360110984604546,0.8735135521284907,0.5216729553654115,0.5948527561747922,COMPLETED,GPEI,308.501414,0.7205627441359984,0.014632653007541739
36,0.628,42,42_0,39.93847164749622,11.656822293338502,33.554325386260885,33.554325386260885,54.973874983688546,0.8663171005818812,0.7095816582392279,0.5459842469230363,COMPLETED,GPEI,389.761464,0.628484753449196,0.014761444083756193
37,0.643,43,43_0,43.19960237985729,13.707361657287647,28.218176198954847,67.04753810774726,69.30107942166521,0.7811030260374987,0.15205459694127602,0.5051289785342983,COMPLETED,GPEI,59.752739,0.6431834388259925,0.014758391468575634
38,0.709,44,44_0,44.11866521345303,4.04265165852739,43.977089524940496,43.977089524940496,55.286124035247596,0.9657501154495488,0.5948812784121023,0.6566781135071634,COMPLETED,GPEI,270.798646,0.7097830551816285,0.014700060426126604
40,0.705,45,45_0,7.551510719840648,49.05173954996923,36.216551213297784,50.53428135166758,83.13847921526278,0.34694465959345666,0.9205371814930401,0.10856249504142212,COMPLETED,GPEI,263.979241,0.7057571057930841,0.014684083621960537
41,0.0,46,46_0,41.795372043824415,0.020000000000004608,0.0020000000000035436,62.694951898055514,62.694951898055514,0.7941652637993318,0.5168186713574663,0.6019626618815704,COMPLETED,GPEI,140.528997,0.003711415529124351,0.014765127389244626
42,0.4,47,47_0,43.49912788408308,0.963116373351891,14.437022079830138,87.52647466383137,94.23667564440582,0.9909253352120495,0.4341371091841917,0.7056059590093328,COMPLETED,GPEI,70.072395,0.3996598145700956,0.014731599815114278
43,0.71,48,48_0,42.04433635209558,4.613176173801558,54.458751935299816,54.458751935299816,58.6836347249314,1.0,0.8130460525243659,0.6603229371570039,COMPLETED,GPEI,340.46985,0.7115143806182371,0.014645500159301503
44,0.754,49,49_0,45.083034367794816,5.611544582891333,26.42112793654934,77.38766706969848,80.25019996297263,0.9224277099167912,0.30844169645938657,0.6602464656385786,COMPLETED,GPEI,346.474481,0.7552887688552639,0.014717209992042029
