,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,best_sem,seed,best_pred
28,28,False,True,False,5.0,1.0000000000000016,5.0,0.6766590751927547,1.0,0.6257949902787285,0.5968165603674368,0.4031834396326014,-3.8191672047105385e-14,0.754,,13,0.754
29,29,False,True,False,1.0000000014286208,4.9999999999872555,4.999999999993118,0.9999999919697723,0.9999999994954555,0.1000000017156585,0.1221878504783525,0.7047953778393913,0.17301677168225627,0.7010000000000001,0.00047002382433836886,14,0.7649964351860179
30,30,False,False,True,5.0,1.0,1.0,0.24478333641646222,1.0,1.0,0.958760927771784,1.0,0.0,0.74,0.0003443301250473056,10,0.7385532151136606
31,31,False,False,True,5.0,1.0,4.9999999999999964,0.7277416666920248,0.7277416666920554,1.0,1.0,0.5191016212127675,1.0,0.511,0.00017886030749172875,11,0.7623413173892656
32,32,False,False,True,4.829431677561624,1.0000000000000002,4.079497293793196,0.10000000000000003,0.8659038817006005,1.0,0.9999999999999999,0.9999999999999999,0.563529519671341,0.738,8.669257284938635e-05,12,0.7539276908179995
33,33,False,False,True,1.0000000000000004,5.0,5.0,0.9999999999999999,0.9999999999999999,1.0,0.4951167519656861,0.9999999999999998,0.9999999999999998,0.6980000000000001,0.004266132335827597,13,0.6976213789447407
34,34,False,False,True,5.0,1.0,3.108590981880942,0.45540630129715753,1.0,1.0,0.5276638954797488,1.0,0.8510992158297183,0.638,0.00029511956202274236,14,0.6927545915742118
35,35,False,False,False,1.0,5.0,1.0,1.0,1.0,1.0,0.41809427481632166,0.34234456667462015,1.0,0.65,0.0002651442650405071,10,0.7629423594031971
36,36,False,False,False,1.0,3.0255898313732965,5.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.0005536347079826969,11,0.7211130974355894
37,37,False,False,False,5.0,1.0,5.0,1.0,1.0,1.0,0.8422216129886776,0.3003375367315045,0.0,0.797,,12,0.797
38,38,False,False,False,1.0,5.0,5.0,1.0,1.0,1.0,0.4691532260787902,1.0,0.0,0.753,0.0006965360569432671,13,0.7658587867348643
39,39,False,False,False,1.0,4.421989756454582,1.0,1.0,0.1,1.0,0.41563129325969667,1.0,0.0,0.666,0.00038799490163339166,14,0.7544455585260049
