,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,sq_particles,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
20,0.706,27,27_0,3.950642614993925,1.0948366604057018,5.0,1.0,0.5554572502048128,0.5873112379699136,0.8924006956686733,0.08243959758884703,0.775520268060704,625000000,COMPLETED,GPKG,72.596017,0.7095841079094358,0.008272271488380598
21,0.664,28,28_0,4.054430924165908,4.068930829853921,4.096817171842488,0.867487742219615,0.1270878225961665,0.4487781440415579,0.5910179911539098,0.5485376790311857,0.5484686217478745,625000000,COMPLETED,GPKG,168.178791,0.6636353152435277,0.009538968093194006
22,0.721,29,29_0,4.200476047294762,1.3865722334371564,5.0,0.8498890495895093,0.5575249026678627,0.5502264909015171,0.8492141764391324,0.11783498904539548,0.9292237039176443,45948389174,COMPLETED,GPKG,2870.571502,0.7184372833235118,0.008617623458504121
23,0.669,30,30_0,3.471733209945541,3.844888405796557,1.565500483274975,0.8280569292276436,0.49374262554714865,0.5954772786011647,0.20402314942143393,0.3296088167249827,0.6771471440003286,5352888202,COMPLETED,GPKG,577.051737,0.6719003964260233,0.00868037628956533
24,0.669,31,31_0,3.212235770597944,1.3810700466814665,4.999780831935771,0.979762553476861,0.5979283139883134,0.5089859443486713,0.8450609488817045,0.18597329096099674,0.7741711300828966,625000000,COMPLETED,GPKG,92.317705,0.6736003858405608,0.009042770617761247
25,0.755,32,32_0,4.042087647881021,1.115034588740396,4.954780739046807,0.9582243915233465,0.7016521066773526,0.6308302425836035,0.8706528017596452,0.2706665586441494,0.8531506096647952,625000000,COMPLETED,GPKG,191.534021,0.7507104131124834,0.00674234417424361
26,0.661,33,33_0,4.272667582401954,5.0,1.713854441209857,0.771334551548699,0.20827383129796254,0.22807769598781114,0.4119934827801953,0.5443418990243887,0.442227673632968,625000000,COMPLETED,GPKG,94.142125,0.6610580756159691,0.0094194637873576
28,0.713,34,34_0,3.6584000775998775,1.0191653528702116,5.0,0.8970449243997174,0.48957225778885827,0.7152713788343771,0.9060378214812935,0.002218505912276514,0.8106591825750222,625000000,COMPLETED,GPKG,207.035207,0.7068937187866714,0.009153375568367542
29,0.693,35,35_0,3.9647186544060613,2.497957572559865,3.7228188582447874,0.6852355073709068,0.8195572025831338,0.294898341982999,0.7289839928355265,0.35879112813190983,0.25597291200301353,62500000000,COMPLETED,GPKG,11739.935193,0.6922331784813361,0.009073369917257048
30,0.604,36,36_0,2.064531160090239,3.051773421480618,2.730518583599051,0.2684761938562803,0.19141357247408924,0.8198646313536323,0.7538841897297662,0.9509113047822799,0.8370626934740175,62500000000,COMPLETED,GPKG,1618.12578,0.607238545959603,0.009575661827991643
31,0.704,37,37_0,3.1977864120234156,1.7202918919379582,1.5699699840460923,0.5400435390008286,0.9924877741710544,0.1,0.7194107871504758,0.9419054310044606,0.9202113022578728,62500000000,COMPLETED,GPKG,22319.130566,0.6993440791415381,0.009582481609426406
32,0.731,38,38_0,4.241343235693615,1.1464158565471114,4.986024124261651,0.8821400378835665,0.7359375818992748,0.6651414087881125,0.7796742517211753,0.21287152528973996,0.8332643002471686,62500000000,COMPLETED,GPKG,14506.291249,0.7341494540158996,0.007347777373732033
