,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1_div_mu3,std2_div_mu3,std3_div_mu3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
16,0.647,23,23_0,36.633165100687236,26.22162118362871,14.594753832212064,64.01132895986872,100.0,0.9519456459992229,0.563725320042717,0.4544518917286272,COMPLETED,GPEI,243.339294,0.6467567811673612,0.006282473258999576
17,0.618,24,24_0,28.580058490279896,17.628412184138373,11.541721196535478,21.05086352139792,88.80601162007882,0.6581032395379615,0.8709192182384637,0.6555418925401871,COMPLETED,GPEI,274.095436,0.61805630682541,0.006283991238318514
18,0.56,25,25_0,42.68389940666572,39.48431592578698,30.009610130464193,92.55694386551077,94.96696356825278,0.43414711791567434,0.5490664192152384,0.9268048192152363,COMPLETED,GPEI,44.855575,0.5605404644571617,0.006292855124241571
19,0.629,26,26_0,43.038102756139374,43.181112154220806,99.51552986806448,76.2872362299692,88.885470807272,1.0,0.4600074076285974,0.5768675562377641,COMPLETED,GPEI,263.285164,0.6291194440749156,0.0062889771538215695
20,0.671,27,27_0,26.251531589731048,35.41056330646175,58.02160119519362,44.42529701214546,24.81379999286247,0.6230355053127244,0.5219773734089398,1.0,COMPLETED,GPEI,385.121032,0.6704493280759005,0.00627275930524904
21,0.6,28,28_0,24.86624029917428,27.227881247078273,37.0905817438012,21.267602541217244,78.04590261830059,1.0,0.3769548677364545,0.7736546162095587,COMPLETED,GPEI,286.065423,0.6002662870481933,0.00628971704692035
22,0.626,29,29_0,47.31800282098595,45.30838339214288,52.12871614301956,100.0,96.24763124960369,0.975271395934204,0.9046399107772658,0.4841941667325099,COMPLETED,GPEI,293.574466,0.6266130768731095,0.006280530776354859
23,0.634,30,30_0,32.65138210760222,33.71129264502166,72.1101794211276,6.96850712690606,24.558097886723537,0.650382159215784,0.34202807497039955,0.5067429360529033,COMPLETED,GPEI,35.313804,0.6339299925604206,0.006292036742027707
24,0.508,31,31_0,41.34963059932553,29.217173458985304,49.79514259768642,42.817430716104454,97.98366498249686,0.8256325805749961,0.08920321306260208,0.4840237148347881,COMPLETED,GPEI,35.336943,0.50875813571627,0.006293699578695391
25,0.677,32,32_0,33.17857253825945,50.0,57.337663903467025,100.0,100.0,1.0,0.6478958266134114,0.704303688853168,COMPLETED,GPEI,507.235279,0.6765624264453859,0.006287510629753909
26,0.684,33,33_0,33.90154314677414,15.465705952900388,11.739784856852781,23.766588210299265,40.57351738716695,0.6385095036863762,0.44665766866565537,0.5200159273484202,COMPLETED,GPEI,294.635633,0.6835869255217167,0.006274405045536614
28,0.684,34,34_0,25.697852166737714,50.0,0.002,15.804561972706233,64.87417386558637,0.4156725593195161,0.6336251138323804,0.917532864140877,COMPLETED,GPEI,396.928154,0.6829888717912587,0.006266061338189284
29,0.709,35,35_0,45.61481420055732,21.319207604330796,65.32546799690178,87.6119363404874,93.75720171336637,1.0,0.8440996198329566,0.595851475181925,COMPLETED,GPEI,481.17987,0.7083949309574158,0.00625546720615178
30,0.652,36,36_0,40.943420229114054,45.77424018876826,90.0552993495623,94.12339720064072,100.0,0.5864685800499083,0.7842418472292124,0.4541683080765505,COMPLETED,GPEI,360.609399,0.6517282945083003,0.006289888853388557
31,0.656,37,37_0,47.44354636453043,47.29711616596398,43.70380359424646,96.03241362879255,75.706707176232,1.0,0.5525433144030415,0.6678761139773916,COMPLETED,GPEI,209.437567,0.6558659763490735,0.00627938394859113
32,0.669,38,38_0,31.191427803698804,19.4271348367822,99.37312248664684,34.179490437914986,16.71928171539739,0.5639528930488494,0.6471136042328217,0.7345456331167391,COMPLETED,GPEI,287.920438,0.6688985307755375,0.006284705259909806
33,0.524,39,39_0,27.337276880945982,50.0,35.612947967737824,37.293346629353294,12.243136348203917,0.384498061465082,0.5135903975255948,0.7201481716202518,COMPLETED,GPEI,42.030709,0.5250566014525261,0.0062901393825925645
