,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,raw_mean,seed,best_sem,best_pred
26,26,False,True,False,5.0,1.0,4.416741768357475,0.6488762714845858,0.6239005610400469,0.47869651105585675,0.4818793858339101,0.1384714120251941,0.3796492021408958,0.725,11,7.920151311088197e-05,0.7293597774835507
27,27,False,True,False,4.99999999998238,1.0,5.0,0.9999999999978452,0.6535252387231729,0.6764528236118804,0.3298116203650264,0.2337424377269616,0.436445941908012,0.732,12,0.00010980843335474562,0.7425162458083364
28,28,False,True,False,4.201962177289488,1.0,2.7443234204011304,0.9089890880380788,0.6387488878671911,0.3344821037837458,0.7082733403430213,0.2917266596569787,0.0,0.715,13,3.3698437069741004e-05,0.7331499457524654
29,29,False,True,False,1.0,4.629896579483023,3.1547697802075065,0.607827188410518,0.8794525129596836,0.7386032791437611,0.21658135637525164,0.43085009883768044,0.3525685447870679,0.717,14,3.749487543963819e-05,0.748003917025161
30,30,False,False,True,3.046584135290475,1.0,4.219088663607932,0.7691775276490791,0.8891500039321107,0.9381284394261226,0.9999999999999998,0.5276775058332739,0.4544027907277584,0.713,10,6.04532405049879e-05,0.7214221239101826
31,31,False,False,True,4.414493777438194,1.0000000000000002,2.440578959974782,0.3059766738217396,0.5488365715695551,0.7813371643609753,0.7481449664009703,0.13196211507672104,0.9915084537801098,0.723,11,4.548213326460892e-05,0.7327242749179371
32,32,False,False,True,1.00000001948783,4.999999938610703,2.8641602072475187,0.5561894630527262,0.7979697030360939,0.911886958672449,0.15642617267099668,0.3072622354224512,0.6688889879802576,0.742,12,2.864390719683012e-05,0.7490957657109092
33,33,False,False,True,3.3212476429926827,1.0000000000000002,4.694617149382993,0.40670244432242064,0.8221524246752459,0.9912509346358251,0.37321880470198465,0.059471509445963404,0.6455974762700677,0.725,13,2.073570187895512e-05,0.7252449990679621
34,34,False,False,True,4.999999999999779,1.000000000000237,3.2952505212184566,0.3452710919103358,0.7073527971385045,0.9999999999999485,0.7585784795146993,0.18962498566095054,0.504642402233681,0.66,14,1.792770424249794e-05,0.7435655933304939
35,35,False,False,False,4.395907593517234,1.0,1.6293416512553487,1.0,0.33835737149246137,0.6519951755835782,0.5614863248158332,0.4921229269964162,1.0,0.727,10,4.5253813335775406e-05,0.7356707978764255
36,36,False,False,False,4.904807392795579,1.0,3.7470363859254694,0.2993628264895563,0.31678506006656737,0.1,0.55838089903775,0.13038853848569873,0.9361808105136844,0.72,11,4.58277660281662e-06,0.7339513576163984
37,37,False,False,False,4.492320621631702,1.0,4.777276068564266,0.9990426141027836,0.897774691714904,0.8247947307578535,0.5902203400137633,0.5837309750026352,0.15795170090278077,0.722,12,4.8383176882959384e-05,0.7063003999114902
38,38,False,False,False,4.922796860443839,1.0,4.149187673961569,0.5349667322576775,0.8672756198672372,0.9638666830530978,0.364187688069677,0.05144445118841598,0.792611617350841,0.741,13,8.570094357696175e-05,0.7496933643843052
39,39,False,False,False,1.0,4.049195196671315,4.206448672099377,0.7251866958906656,0.6856533544477056,0.8630094817268089,0.24655314030027628,0.8971822562360127,0.5117874016607354,0.736,14,7.285304300772241e-05,0.7259285845393734
