,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
10,0.0,18,18_0,4.343380663978416,1.0,4.18280287657835,1.0,0.27068578915010133,1.0,0.0,0.0,0.0,COMPLETED,FullyBayesian,527.479662,0.007495664029465776,0.02583679298887337
11,0.651,19,19_0,4.402364581677158,1.0,5.0,1.0,1.0,1.0,0.27811269798832144,1.0,0.0,COMPLETED,FullyBayesian,2323.600663,0.6501368749433488,0.026946564599754735
12,0.642,20,20_0,1.0,3.9953774290616084,4.141577254136262,1.0,1.0,0.1,0.507957275441647,0.29131221967654775,0.0,COMPLETED,FullyBayesian,630.533739,0.6539036536788293,0.028870090850767628
13,0.0,21,21_0,3.9286873116449863,1.0,4.676741780224489,1.0,1.0,0.9957572386187489,0.0,0.0,0.3275584970072781,COMPLETED,FullyBayesian,958.613189,0.018875437420600827,0.0297081023849066
14,0.0,22,22_0,1.0,5.0,5.0,0.7385924468598533,0.1,1.0,0.0,0.0,0.27553821843231385,COMPLETED,FullyBayesian,1195.728683,0.002987505528784351,0.028462083771010834
16,0.699,23,23_0,1.0,5.0,5.0,0.1,1.0,0.1,0.10539817478317269,1.0,1.0,COMPLETED,FullyBayesian,566.481867,0.6913185660351441,0.02836238887086404
17,0.644,24,24_0,5.0,5.0,5.0,1.0,1.0,0.683077335566743,0.317290786191652,0.4944618157189022,1.0,COMPLETED,FullyBayesian,1895.801305,0.6477318769315759,0.028030998036893226
18,0.65,25,25_0,1.0,1.0,5.0,0.1,1.0,0.1,0.2976049467953795,1.0,0.27369590656118903,COMPLETED,FullyBayesian,1677.034972,0.6540157572614587,0.02712476840929548
19,0.759,26,26_0,1.0,5.0,1.0,1.0,0.1,0.1,0.49924821618773135,1.0,1.0,COMPLETED,FullyBayesian,1109.593445,0.748129066039379,0.028537781497741693
20,0.734,27,27_0,5.0,1.0,5.0,1.0,0.8488749826296593,1.0,1.0,0.4488332099368671,0.0,COMPLETED,FullyBayesian,844.454306,0.7166048777437865,0.028435435050699315
21,0.704,28,28_0,5.0,1.0,5.0,1.0,0.1,1.0,1.0,0.18408538610151037,0.0,COMPLETED,FullyBayesian,1949.217591,0.6977715150775874,0.028171098362649662
22,0.585,29,29_0,5.0,1.0,5.0,1.0,0.1,0.1,0.551196971655134,0.36576931549140407,1.0,COMPLETED,FullyBayesian,182.969834,0.6103006550715584,0.0319926318172715
23,0.73,30,30_0,5.0,1.0,5.0,0.6821180025869852,1.0,1.0,0.7224509017128597,0.45102617015195623,1.0,COMPLETED,FullyBayesian,2337.841386,0.7142866703528216,0.026499970614699993
24,0.639,31,31_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,COMPLETED,FullyBayesian,3680.267589,0.6389429102510579,0.02965274298238339
25,0.672,32,32_0,1.0,5.0,1.0,1.0,1.0,0.1,1.0,0.3427160035850688,1.0,COMPLETED,FullyBayesian,2346.718536,0.6569864745658245,0.02935019835171138
26,0.613,33,33_0,5.0,5.0,1.0,1.0,1.0,0.1,0.26715785604884956,0.8630414926768956,0.0,COMPLETED,FullyBayesian,627.444207,0.6192144347108328,0.029353946007444055
28,0.526,34,34_0,1.0,1.0,1.0,0.1,0.1,1.0,1.0,0.5147963807381131,0.0,COMPLETED,FullyBayesian,831.261178,0.5400872160079218,0.030564217823637187
29,0.681,35,35_0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,0.5822605297141912,1.0,COMPLETED,FullyBayesian,2545.871257,0.6731708050712508,0.02875647356649585
30,0.637,36,36_0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,0.29217648047678096,0.0,COMPLETED,FullyBayesian,1992.447071,0.6577627688076085,0.03072647413829251
31,0.649,37,37_0,5.0,5.0,1.0,0.1,1.0,1.0,0.5716678914286246,1.0,1.0,COMPLETED,FullyBayesian,640.537054,0.6567040547422824,0.028837797632382735
32,0.646,38,38_0,5.0,5.0,5.0,1.0,1.0,0.1,1.0,0.3237882706835625,0.0,COMPLETED,FullyBayesian,2344.727677,0.6564762940695558,0.026116534973890056
33,0.797,39,39_0,5.0,1.0,5.0,1.0,1.0,1.0,0.8422216129886776,0.3003375367315045,0.0,COMPLETED,FullyBayesian,1667.129957,0.7707618866226245,0.025776612638218642
34,0.646,40,40_0,1.0,1.0,5.0,1.0,0.1,0.1,0.5295437767401233,0.8844485953267978,1.0,COMPLETED,FullyBayesian,1038.389856,0.6539125304163761,0.027942705338330834
35,0.671,41,41_0,5.0,1.0,5.0,1.0,1.0,1.0,0.6808400213990972,0.614559197932014,0.0,COMPLETED,FullyBayesian,902.152166,0.6750026200502192,0.027623035742161916
36,0.648,42,42_0,5.0,5.0,5.0,1.0,1.0,1.0,0.8794587810088647,0.3827212080381434,1.0,COMPLETED,FullyBayesian,245.038924,0.6689713920139385,0.026909226414869144
37,0.652,43,43_0,5.0,5.0,5.0,1.0,1.0,0.1,0.8371738403995459,0.44676860094867227,0.0,COMPLETED,FullyBayesian,820.269306,0.6550217232598988,0.026149103221401376
38,0.649,44,44_0,5.0,1.0,5.0,1.0,1.0,0.1,0.0,0.5471311071554017,1.0,COMPLETED,FullyBayesian,715.256746,0.6557009517624325,0.02848568476019452
40,0.758,45,45_0,1.0,5.0,5.0,1.0,0.1,1.0,0.358183594152249,1.0,1.0,COMPLETED,FullyBayesian,579.845563,0.7522158644475635,0.027695172899991675
41,0.647,46,46_0,5.0,1.0,1.0,1.0,1.0,0.1,1.0,0.0,0.0,COMPLETED,FullyBayesian,452.894957,0.6457993591812827,0.02935787558387543
42,0.52,47,47_0,5.0,1.0,5.0,0.1,0.1,0.1,0.0,1.0,0.0,COMPLETED,FullyBayesian,330.501932,0.5296107284616176,0.02973450334354964
43,0.775,48,48_0,5.0,1.0,5.0,1.0,1.0,0.1,0.7739296006311706,0.2125064021603122,0.0,COMPLETED,FullyBayesian,363.885505,0.7704172269402227,0.025517475069463547
44,0.724,49,49_0,5.0,1.0,1.0,1.0,1.0,1.0,0.7454074809220805,0.2656292248632427,0.0,COMPLETED,FullyBayesian,353.794812,0.7311353504661245,0.02669441673824451
