,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
7,0.688,15,15_0,3.3214149038661676,1.1697735506877662,1.9777486277550722,0.30100545649224075,0.4417972448443911,0.966159442164507,0.4768475229324375,0.12696573196573832,0.9008902539020813,COMPLETED,GPEI,31.419617,0.6891221908028873,0.008462025857059501
8,0.678,16,16_0,3.319289589683383,1.4372813075255504,2.097329271792076,0.4639895279426043,0.49487751958044657,0.7781897355614541,0.45270635039164436,0.21060031052758135,0.8993486841668222,COMPLETED,GPEI,71.305808,0.6763978679787146,0.009035700850282592
9,0.707,17,17_0,3.9569045049826452,1.1731291393838117,2.2601220011059717,0.44430498964323484,0.604210967067322,0.8847342590078758,0.6706840592660144,0.23075809497269248,0.826692556452177,COMPLETED,GPEI,107.98289,0.7055378629045543,0.00813062576124137
10,0.702,18,18_0,3.941346547256581,1.0,2.4035117986615724,0.5120922537907194,0.5120922537907194,0.968957464387407,0.5334197300620572,0.13810800969955886,0.892318565122814,COMPLETED,GPEI,73.049788,0.7049847877114055,0.008063826485794297
11,0.702,19,19_0,3.665739754926018,1.0000000000000009,1.7086906739721754,0.4378594345226119,0.5549921617746745,0.9361037407769818,0.6764044403133228,0.08241755838626466,0.8339928915471425,COMPLETED,GPEI,115.277938,0.7089015411994468,0.00788977231887559
12,0.731,20,20_0,3.6673823832430528,1.0,2.2346486121232916,0.38548565762505327,0.6723677889095259,0.926900608250773,0.5671469094826188,0.12710738019028844,0.8503834996658527,COMPLETED,GPEI,79.466474,0.7277760624332675,0.004730402633896441
13,0.698,21,21_0,3.3075593215659613,1.0,2.1215719358593503,0.47168202137776405,0.5337796020667799,0.9672120694938231,0.6455495565877354,0.21625659545651923,0.8536479058360333,COMPLETED,GPEI,115.595453,0.698592157295968,0.008008035259298316
14,0.721,22,22_0,3.9672319883132428,1.0000000000008598,1.7218252684615605,0.4147286922637101,0.5416556753518765,0.876113946860868,0.5393661533621471,0.1310131174832503,0.7887987108629088,COMPLETED,GPEI,75.799293,0.7168144704273045,0.007080113043610235
16,0.718,23,23_0,3.584985278338921,1.0,2.025119906135452,0.4131369253747773,0.7060724853492999,0.9474547311743989,0.543118054695176,0.2005564718040524,0.9161910249487157,COMPLETED,GPEI,128.619695,0.7157486030186351,0.007027602418876484
17,0.72,24,24_0,3.6241769207550805,1.0,2.2605106391844227,0.400032359916245,0.6528903014748605,0.9152864150145553,0.5195794753256381,0.10412650419602304,0.7497559212869368,COMPLETED,GPEI,89.332311,0.7184112413424272,0.007000854116897544
18,0.719,25,25_0,3.959335810934475,1.0,1.9041066958127866,0.3722782991622593,0.6780977936117742,0.899251830501438,0.5282351114247407,0.14753685354045704,0.8705447560988305,COMPLETED,GPEI,143.192019,0.7261384695464693,0.0055788595621860775
19,0.733,26,26_0,3.8451361771928623,1.000000000000005,1.7902853560670302,0.3941311267828247,0.7017817839916046,0.9999999999999959,0.5171177089618643,0.18138183536845065,0.7971307179823977,COMPLETED,GPEI,99.994755,0.7180326042530562,0.006395208531014041
20,0.734,27,27_0,3.8473686033288628,1.0000000000000009,2.1493012392115682,0.40135604990956697,0.6711378878427714,0.8299566971127722,0.5647750576780637,0.0775877197307474,0.8482440141492553,COMPLETED,GPEI,148.317947,0.7238657434877968,0.005508500950366354
21,0.716,28,28_0,3.870538084332655,1.0000000000000007,2.2237787433278307,0.3325704110928185,0.6292948825375199,0.8874195810486805,0.5649573991514691,0.18659089145665747,0.8361892879765177,COMPLETED,GPEI,102.210108,0.7206928228876047,0.006523297659000135
22,0.719,29,29_0,3.7468904562038,1.0,1.9610603159901485,0.40811913555733415,0.6853460892986377,0.9999999999999999,0.5552017381835435,0.1324812679587573,0.8101797969665663,COMPLETED,GPEI,142.802583,0.7218862821428703,0.005797512829045894
23,0.696,30,30_0,3.784168886645506,1.0000000000000024,2.0596705959824293,0.3770266359443736,0.6581223627684059,1.0,0.557401834665013,0.24755900339580517,0.7963811720991747,COMPLETED,GPEI,93.480083,0.7034369959642001,0.007441207976517609
24,0.73,31,31_0,3.740100194469822,1.0000000000000007,1.9043985932139222,0.4498500408229844,0.7776823427566969,0.9225418021942019,0.5573225207117681,0.0665854928012085,0.810531845692517,COMPLETED,GPEI,141.552534,0.7149014126094793,0.006259845215971314
25,0.658,32,32_0,3.7786238305839093,1.2980240592582226,1.9165146943260585,0.4327374305944438,0.7403428259536785,0.9825334937501835,0.5517587950500087,0.019594657128354214,0.8161188615115917,COMPLETED,GPEI,90.593958,0.6663615874596949,0.008839867562445177
26,0.695,33,33_0,3.8781444094202895,1.0000000000000009,1.8471236698059985,0.4738571896518077,0.7694511415188473,0.8114233779349866,0.5400894817411432,0.12566709092452955,0.793691697133279,COMPLETED,GPEI,135.732247,0.701452159299273,0.006938196847767778
28,0.697,34,34_0,4.142587638393724,1.0,1.8986593428253151,0.4411743133134255,0.7788159337956579,0.9074926173140175,0.49090818627701577,0.03089014695386043,0.8078148257102877,COMPLETED,GPEI,91.686376,0.7007384726232254,0.0077907572181931594
29,0.696,35,35_0,3.558525314995887,1.000000000000073,2.1476774054803176,0.43210897023481964,0.7721664569947221,0.7825760937155638,0.586025441401841,0.13121746939959605,0.833902503505962,COMPLETED,GPEI,136.627217,0.7025629796973192,0.00704055656560907
30,0.709,36,36_0,3.5411198471814753,1.0000000000000002,1.7177137619551215,0.4006515851873884,0.7598621408810647,0.8459927141607027,0.5046608949680876,0.13722080265429568,0.8035709801128679,COMPLETED,GPEI,96.325889,0.7094794466602106,0.006573145153393908
31,0.721,37,37_0,3.760002786936173,1.0,2.7422097248256154,0.38345190407234264,0.6808673379177665,0.8256932238470089,0.6567753071307587,0.08983884595872736,0.888893028812584,COMPLETED,GPEI,149.441534,0.7225364104317824,0.007202867087023263
32,0.729,38,38_0,3.5265130792193524,1.0000000000000313,1.8902512178705149,0.3490148664855569,0.6977524606098435,0.887805621472735,0.5451063370848558,0.0974360991620332,0.8572422407831345,COMPLETED,GPEI,101.601706,0.7247476390262498,0.006020835005769147
33,0.719,39,39_0,3.7361136301647337,1.0,1.950062251615239,0.429845817095898,0.645339444951839,0.9135326420888743,0.512074807832436,0.11742725972348163,0.8595874989361224,COMPLETED,GPEI,145.412066,0.7251933826764408,0.004749628180070633
34,0.748,40,40_0,4.313413032368798,1.0,2.4689923159650538,0.3634674053239275,0.5336277853986175,0.8041272357901728,0.6279969433061395,0.10987555796029366,0.9186902019152333,COMPLETED,GPEI,96.570691,0.730649154262561,0.005272661666587352
35,0.729,41,41_0,3.681483815858982,1.0,2.167155119613451,0.40536066143950544,0.6909277090192754,0.8956528183241731,0.5886239203177748,0.086358181841021,0.9424614462878521,COMPLETED,GPEI,155.847581,0.726310944946408,0.006306789521454731
36,0.735,42,42_0,4.25569284427479,1.0,2.966288452131394,0.3816895005648113,0.5337598475388077,0.7541648123110666,0.7814875462742442,0.16196702786072964,0.8828242848671365,COMPLETED,GPEI,112.137294,0.7247977252430579,0.007358610649121065
37,0.71,43,43_0,4.586828926931709,1.0,2.3665935627425645,0.30924232926484807,0.5585931857195459,0.8034110101598081,0.6489259052691266,0.06378945539517603,0.9072328358755819,COMPLETED,GPEI,168.186421,0.7175030419317479,0.0075617969853892094
38,0.728,44,44_0,4.629256669571685,1.0,2.533351619139371,0.43031240803829807,0.48722251862514,0.7787195899262815,0.6578509361738971,0.13406755497843767,1.0,COMPLETED,GPEI,113.284618,0.7242411126762011,0.007693699263643475
40,0.699,45,45_0,4.460195670384802,1.00000000000013,2.722713519190301,0.36890156318383094,0.47095389252948716,0.7600017165045094,0.6703368304378348,0.11171136250798308,0.8151878229151994,COMPLETED,GPEI,59.590019,0.7101291634789695,0.007677990641596893
41,0.741,46,46_0,4.414493777438194,1.0000000000000002,2.440578959974782,0.3059766738217396,0.5488365715695551,0.7813371643609753,0.7481449664009703,0.13196211507672104,0.9915084537801098,COMPLETED,GPEI,118.626482,0.7327242749071115,0.0067440442779737216
42,0.722,47,47_0,4.145412678650754,1.0000000000273352,2.5988353380763467,0.3929287357835942,0.5681190744853103,0.8058370424998226,0.6817724024580382,0.15583700834577444,0.9999999999900234,COMPLETED,GPEI,58.974836,0.7307124470178046,0.005986856864445877
43,0.714,48,48_0,4.272441074750022,1.0000000006732195,3.2053705502730043,0.38671095982871573,0.5646267023285246,0.7798147163168424,0.6188030272108049,0.17227269949248172,0.9999999997603015,COMPLETED,GPEI,61.096294,0.716582335997633,0.007992779923845986
44,0.723,49,49_0,4.438700839015093,1.0,2.341673740107856,0.37273258196690084,0.5655574945751951,0.7795678091446169,0.8778226713208409,0.17806564412494494,0.982131973009038,COMPLETED,GPEI,51.934298,0.7248830206183481,0.008047594357137375
