,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
1,0.67,10,10_0,4.6864819806787015,1.0,4.861993535513983,0.9864237422337696,0.9588625724720825,0.9596920840113794,0.22117923096764605,0.4351056911198222,0.18543407224020203,COMPLETED,GPEI,362.909454,0.6688416045181499,0.014419029981378938
2,0.674,11,11_0,4.1168381846328455,1.0,4.7599114060366965,0.803350295518223,0.8690389517608091,1.0,0.06454439386081509,0.20567384233101207,0.01952057842596361,COMPLETED,GPEI,299.511164,0.6764950150899341,0.015348730414895049
4,0.634,12,12_0,4.156381257204773,1.0,4.210928021141734,0.7950972610831858,0.8717207511928203,1.0,0.21438072266488273,0.39286848568259686,0.18091767494787514,COMPLETED,GPEI,366.429766,0.6507105116461485,0.014925405164455117
5,0.678,13,13_0,4.73899683014835,1.4174019601929275,5.0,1.0,0.9667672271474249,0.9805140617640806,0.09285606456484476,0.2677496456209942,0.021785694166767077,COMPLETED,GPEI,302.838183,0.6826179243367528,0.015180945871196823
6,0.639,14,14_0,3.828630114081564,1.0,5.0,0.9294983551542797,0.8503570461542245,0.873118125623252,0.13241047283172203,0.3256099493575862,0.24383398644684037,COMPLETED,GPEI,351.080697,0.650193985358658,0.015421088673048497
7,0.681,15,15_0,4.94857453497842,1.0,4.871038423771223,0.8151797149779642,0.9568324358673875,1.0,0.21994173267420905,0.4264291460989612,0.026316100339758976,COMPLETED,GPEI,315.382038,0.6755167993618965,0.014847817390192941
8,0.681,16,16_0,1.0,4.158885841169894,4.732473199430419,0.7772706862425143,0.13998151436855644,0.18890603460397737,0.6274926759903541,0.15221071360207653,0.42975948025762767,COMPLETED,GPEI,407.100261,0.6765290007728505,0.014615223155920032
9,0.685,17,17_0,1.0,4.485145877961216,4.267991306431782,0.567524798598158,0.22795880559508927,0.3268920339837925,0.7927788569860212,0.29010471713189995,0.31348815469804325,COMPLETED,GPEI,128.526184,0.6835515446513492,0.014461597825567309
10,0.701,18,18_0,1.0036030744154227,3.8491302547770756,3.7932191954271577,0.7050480832443077,0.2946826269940279,0.2174666808440274,0.5888807588688121,0.25447095899095096,0.5527667973169318,COMPLETED,GPEI,223.353077,0.6975077011913302,0.012456236991493563
11,0.739,19,19_0,4.835458518976077,1.0,5.0,0.9094092741591491,1.0,1.0,0.22012130923677248,0.07563556650883599,0.09135702651713752,COMPLETED,GPEI,691.451643,0.7366081684898088,0.0063202752780485445
12,0.679,20,20_0,1.00264121163478,4.010364746212655,4.15999918693469,0.5159979091825673,0.1425319354762052,0.34784341230685256,0.6351283724527013,0.36172328152624283,0.4816478831024187,COMPLETED,GPEI,310.722369,0.6846917214926518,0.014049514003281301
13,0.668,21,21_0,1.3923510883735608,4.401272359004503,4.254567908197606,0.7628686813016627,0.3041194846552358,0.1927599673216045,0.7751088559191502,0.18452675137770128,0.331942494705089,COMPLETED,GPEI,372.720192,0.672712155712477,0.01474072376715332
14,0.656,22,22_0,1.0,4.487952222913792,3.966771866202906,0.6562842613092167,0.2915157080615234,0.28432265137790225,0.6501503948360384,0.12157454877773739,0.5399081510258148,COMPLETED,GPEI,187.444726,0.661567582582316,0.015253426630985488
16,0.693,23,23_0,1.0,3.529572938460283,4.08948171302211,0.7350320134676228,0.26471006724392887,0.2124378859254361,0.6015157386842951,0.37325763343850826,0.38651413872992774,COMPLETED,GPEI,379.191937,0.6927348763003012,0.01424235808137935
17,0.677,24,24_0,1.0530711496179257,4.100685018344764,3.9089062120047764,0.6583112834525462,0.199251084649735,0.13760808142185182,0.7619027411199629,0.26250538711469495,0.5544330662841371,COMPLETED,GPEI,509.354554,0.686344507824483,0.013114264595612843
18,0.722,25,25_0,1.4261578873893006,3.890670292322084,4.231851083307934,0.7240705166485655,0.20881430555067593,0.2366234879534759,0.4865959938451083,0.32341605781198335,0.48218319339610166,COMPLETED,GPEI,518.392134,0.7163454332665654,0.010427030261913264
19,0.692,26,26_0,1.0,3.339070643754254,4.10134533649866,0.6494024323396181,0.22610823612965816,0.25569205216081353,0.755858482409026,0.23881744471997265,0.44765832424544133,COMPLETED,GPEI,417.120928,0.6895470694460203,0.01414372336348143
20,0.733,27,27_0,5.0,1.0,5.0,0.8063322477363037,1.0,1.0,0.1713755380267013,0.057764620144764814,0.12252555093388033,COMPLETED,GPEI,353.256942,0.7260239591149613,0.00903909965717625
21,0.731,28,28_0,4.654559710059527,1.0,5.0,0.9147491324304032,0.9962160150133527,1.0,0.3242294032497525,0.08262357863453704,0.0,COMPLETED,GPEI,290.465502,0.7310366897386615,0.009511780031267382
22,0.756,29,29_0,4.904027367941295,1.0,5.0,0.9368769350816956,0.8782297319746742,1.0,0.2098571613104113,0.05740552313253982,0.11409927527149348,COMPLETED,GPEI,360.298453,0.7308867247241219,0.006699543718072873
23,0.746,30,30_0,4.895240241000392,1.0,4.494767511888149,0.9248717250691082,1.0,1.0,0.1894697377686249,0.05986340677727099,0.07581718926822843,COMPLETED,GPEI,345.154686,0.7253653451803695,0.009453909504652929
