,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,vol_frac_pred,vol_frac_sigma
29,0.763,35,35_0,5.0,1.0000000000042426,1.0,1.0,1.0,0.5274231614234655,0.2556321989673314,1.0,COMPLETED,FullyBayesian,3366.865536,0.7507668131082557,0.024189668278530172
30,0.752,36,36_0,4.99999999989854,1.0000000000917082,0.1000000001885182,0.9999999999017948,0.9999999999953354,0.3598369514005965,0.2762570343336093,0.0,COMPLETED,FullyBayesian,3383.107706,0.7451235257271209,0.02269409958770488
31,0.753,37,37_0,5.0,1.0000000000000002,0.1000000000000009,0.9999999999999989,0.9999999999999994,0.6305907579513623,0.21174730317923837,1.0,COMPLETED,FullyBayesian,1190.524586,0.7530887692325804,0.021866421875966734
32,0.518,38,38_0,4.999999999996028,1.0000000000041454,0.1,0.10000000000165656,0.10000000000045789,9.753196426269775e-12,0.8094144065792677,8.730967145495741e-13,COMPLETED,FullyBayesian,3983.937891,0.527281623072015,0.02847335911337588
33,0.633,39,39_0,1.0,5.0,0.1,0.1,0.1,0.5429586362550876,1.0,1.0,COMPLETED,FullyBayesian,3837.827291,0.6186549725651485,0.028277785354645965
34,0.76,40,40_0,5.0,1.0000000000002591,1.0,0.9999999999999487,0.9999999999999687,0.3978536803721107,0.624409912143583,3.698283042377614e-14,COMPLETED,FullyBayesian,1303.834276,0.7187399859264383,0.027717984460681695
35,0.648,41,41_0,5.0,1.000000000000134,0.9999999999999968,0.9999999999998845,0.10000000000000496,0.3472951292610204,0.6669824944375425,1.6096163387612494e-14,COMPLETED,FullyBayesian,2231.223947,0.6639854595627657,0.020191562039253704
36,0.664,42,42_0,4.999999998790426,1.0,0.9999999999500899,1.0,0.10000000011604838,0.4171325598168464,0.6634659658532602,1.440170508028582e-10,COMPLETED,FullyBayesian,1062.632647,0.6676393008888504,0.01998482225800268
37,0.681,43,43_0,5.0,1.0,0.9999999999991716,1.0,0.1,0.6084759517001884,1.0,0.0,COMPLETED,FullyBayesian,1474.023859,0.6887742925659247,0.025296943453735305
38,0.587,44,44_0,5.0,1.0,0.1,0.1,0.1,1.0,1.0,0.0,COMPLETED,FullyBayesian,1431.331928,0.6013268993075959,0.027968586586819652
40,0.627,45,45_0,1.0,1.0,1.0,1.0,1.0,0.36473261949380265,0.5845021144879897,1.453717868095167e-17,COMPLETED,FullyBayesian,1265.874359,0.648926061878584,0.02835587290842305
41,0.724,46,46_0,5.0,1.0,0.1,0.9999999999999999,1.0,0.5243768043290086,0.5308743612387571,4.7058804333333255e-17,COMPLETED,FullyBayesian,991.123159,0.7201305834952517,0.02587768372153442
42,0.52,47,47_0,5.0,5.0,0.1,0.10000000000000003,0.1,0.0,1.0,4.3217158308449665e-18,COMPLETED,FullyBayesian,564.042279,0.5291827321685416,0.028078989611251725
43,0.642,48,48_0,5.0,5.0,1.0,1.0,1.0,0.0,0.7043873541948176,0.0,COMPLETED,FullyBayesian,384.884115,0.6515312969188658,0.026619953738234562
44,0.694,49,49_0,5.0,1.0,1.0,1.0,1.0,0.30769394774199166,0.35289784336111557,1.0539388746525015e-17,COMPLETED,FullyBayesian,347.922449,0.7060660573129756,0.025021279358280312
