,index,rm_scl,rm_comp,order,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,seed,best_sem,best_pred,raw_mean
12,12,True,False,True,13.775174329317517,3.333333333333333,10.0,0.954491706701639,1.0,0.8708084395004856,0.4521729076355236,0.15364890586765723,0.42351350090801065,12,5.1953143067349555e-05,0.731484350964041,0.706
13,13,True,False,True,13.761935807271147,3.333333333338367,10.0,0.3352878088108683,0.8920590868092354,0.5599691037583419,0.7513794812958967,0.4295674796068657,0.40727834832600224,13,4.5142283729908934e-05,0.7606878717733461,0.743
14,14,True,False,True,15.689408017628548,4.838218551651429,10.0,0.10000000000000002,0.7139506070291394,0.8839259410747001,0.3776515216269946,0.3916342974071571,0.685246030079582,14,5.212083238001466e-05,0.7286617615363152,0.743
15,15,True,False,False,11.63759604298846,3.333333333333333,10.0,0.7667128834341356,0.9539201175279387,0.32790176648160674,0.7463033556515599,0.725406890608289,0.23765794901499118,10,6.342685026808978e-05,0.7062779356177882,0.708
16,16,True,False,False,3.333333333333333,16.666666666666668,10.0,0.8839762731878323,0.4669403808815854,0.44736035737641056,0.6061962198368898,1.0,0.2874089088278681,11,8.040044662976646e-05,0.7517563037675766,0.736
17,17,True,False,False,3.333333333333333,13.85127184072081,10.0,0.8337312122118706,0.39122679175139363,0.31369592064093577,0.16900069961263844,0.5793104167977748,0.37977248162848404,12,7.615077837506321e-05,0.7386256834289172,0.732
18,18,True,False,False,14.75667900525917,3.6861091684831413,10.0,0.9763016642159823,0.7263834040150624,0.41816717665352743,0.6959504770141792,0.2924823697468281,0.0,13,0.00010241565939480849,0.7394529075274363,0.762
19,19,True,False,False,3.333333333333333,10.063853588295142,10.0,0.8579161749729057,0.8609867386251492,0.7121221792935092,0.4044469261340501,0.7292516335647937,0.5037563160999157,14,5.3236561142456506e-05,0.7413418791096165,0.752
20,20,False,True,True,4.9586971590293825,3.276085508338936,4.651768534314531,0.6500461212254732,0.9104354903945486,0.9104354903945491,0.38994458532564646,0.6100554146743534,1.1102230246251565e-16,10,2.3872169017428076e-05,0.6833216727063368,0.672
21,21,False,True,True,3.5884874681386814,1.0000000000000004,4.450984598098886,0.4612260385987951,0.8089153740061018,0.9107108594310798,0.632466857094839,0.3433478976303416,0.024185245274819467,11,5.0783927284290875e-05,0.7372620126828474,0.741
