,vol_frac,trial_index,arm_name,mu1,mu2,mu3,std1,std2,std3,comp1,comp2,comp3,trial_status,generation_method,runtime,trial_start_datetime,trial_complete_datetime,time_elapsed,vol_frac_pred,vol_frac_sigma
1,0.72,10,10_0,1.2884477775012342,3.9725859103947188,4.617407565304319,0.7995307834613055,0.32075187479493417,0.7163123926117263,0.6640056531033426,0.4663074112631177,0.6707296128671552,COMPLETED,GPEI,23937.486425,2022-06-24 07:52:42.866902,2022-06-24 14:31:40.353327,45267.482699,0.7209937729001235,0.003909580249680299
2,0.705,11,11_0,1.6251877001752497,3.659456220874806,5.0,0.6270005763660725,0.13762578033458805,0.6162158806659707,0.5682924782894886,0.44633896067647894,0.7626773220200735,COMPLETED,GPEI,12260.949588,2022-06-24 07:52:44.492555,2022-06-24 11:17:05.442143,33592.571515,0.7052591233922139,0.003893282282587373
4,0.712,12,12_0,2.0986810156669655,4.210939872676799,5.0,0.7099843589403986,0.3764994162347036,0.7242836028837895,0.7013620642321375,0.5168121710750355,0.5781351254207586,COMPLETED,GPEI,17074.80219,2022-06-24 07:52:46.093274,2022-06-24 12:37:20.895464,38408.024836,0.710489272128525,0.003861335293196418
5,0.721,13,13_0,1.3975322324698876,3.3165047646534447,4.988806936466283,0.7114845244493848,0.2694885433924289,0.5218829503205595,0.7321663278688779,0.4407612150252316,0.580039691205952,COMPLETED,GPEI,18319.568636,2022-06-24 07:52:48.310346,2022-06-24 12:58:07.878982,39655.008354,0.7192892994256879,0.003911535377697019
6,0.699,14,14_0,1.3778605313371637,4.411037506374752,2.8177356260536737,0.9353730827596756,0.6128018925130237,0.8344925835232716,0.8394701800008654,0.5159891369363554,0.48791780721832845,COMPLETED,GPEI,27116.565581,2022-06-24 07:52:49.633806,2022-06-24 15:24:46.199387,48453.328759,0.6997306718227367,0.004079520655512686
7,0.727,15,15_0,1.6655498984330324,4.45569574069664,4.259943082752075,0.7130667964084495,0.13415183970080496,0.69777680447929,0.6737447819377892,0.561889250996684,0.6428219341494895,COMPLETED,GPEI,18299.867068,2022-06-24 07:52:52.596882,2022-06-24 12:57:52.463950,39639.593322,0.7259263369137198,0.0035399316193414055
8,0.728,16,16_0,1.7389536185953811,4.049187559423029,4.931413229913806,0.7251774426196262,0.2330528066790108,0.619261483324254,0.41338116030773864,0.47887647054119,0.5560779688667844,COMPLETED,GPEI,18475.663103,2022-06-24 07:52:56.555298,2022-06-24 13:00:52.218401,39819.347773,0.7264564401578029,0.0036915796541743184
9,0.693,17,17_0,2.144574403652385,3.5997450383437783,5.0,0.6608603519015631,0.2993672210185386,0.6801343626882776,0.7748698048362573,0.454977151772,0.7920916382122368,COMPLETED,GPEI,13749.262327,2022-06-24 07:53:00.365110,2022-06-24 11:42:09.627437,35096.756809,0.693560951723655,0.00402088982780362
10,0.697,18,18_0,1.3381497906503648,4.306648215079308,5.0,0.5410673620251109,0.24106920518450217,0.6985619741470064,0.6235851135454823,0.4218031073455415,0.6164651220956682,COMPLETED,GPEI,8533.803813,2022-06-24 11:17:07.906552,2022-06-24 13:39:21.710365,42128.839737,0.6976241341268354,0.004033375635140324
11,0.71,19,19_0,1.8070260416697668,3.7113955345103276,4.958605899467777,0.7700551222801506,0.17650829111344066,0.689215916859053,0.5976852226550228,0.6552206324728314,0.7056603214496212,COMPLETED,GPEI,18744.549957,2022-06-24 11:42:12.331205,2022-06-24 16:54:36.881162,53844.010534,0.7127445588365573,0.0037958793985891407
12,0.709,20,20_0,1.7609887412576173,4.6331777334027855,5.0,0.6738348529469073,0.3208261638118187,0.6223030107368118,0.6205980948703855,0.35283762051984563,0.6406495627747977,COMPLETED,GPEI,14760.918167,2022-06-24 12:37:22.531048,2022-06-24 16:43:23.449215,53170.578587,0.710426633271567,0.003800106286226046
13,0.736,21,21_0,1.684677442139882,4.328056166047588,4.5384242994566595,0.7308147871617335,0.1060228574250145,0.8349624641078213,0.6398734792000831,0.5163934545299227,0.5467058441568516,COMPLETED,GPEI,18884.864699,2022-06-24 12:57:55.898630,2022-06-24 18:12:40.763329,58527.892701,0.7310300833245785,0.0033721664969830843
14,0.721,22,22_0,1.2768446115959096,4.3241359928015655,4.465388728415068,0.7680274739742879,0.1758970494681419,0.5855221682268892,0.7998652387508478,0.5943729280650091,0.533235146671534,COMPLETED,GPEI,22313.940863,2022-06-24 12:58:11.579516,2022-06-24 19:10:05.520379,61972.649751,0.7212986691086818,0.004015498577345979
16,0.726,23,23_0,1.2869911426805865,4.19903877797248,4.086806742129151,0.7624208215478665,0.20600250534987158,0.6274174676919403,0.48081203249308696,0.5076892435162372,0.4557765191340245,COMPLETED,GPEI,21498.449989,2022-06-24 13:00:55.025309,2022-06-24 18:59:13.475298,61320.60467,0.7267615618522749,0.003340504433343502
