,vol_frac,trial_index,arm_name,mu1_div_mu3,mu2_div_mu3,std1_div_mu3,std2_div_mu3,std3_div_mu3,comp1,comp2,trial_status,generation_method,comp3,runtime,vol_frac_pred,vol_frac_sigma
8,0.651,16,16_0,33.16794099057692,21.414593251709007,15.382794767927678,17.545017611539297,83.47082149868099,0.6886679964160938,0.31133200358390634,COMPLETED,GPEI,0.0,388.015563,0.6505894984858009,0.0034999184019040303
9,0.62,17,17_0,15.246531777482204,32.20735275943942,31.718110009502364,74.0183521651332,100.0,0.9135184591007021,0.08648154089929784,COMPLETED,GPEI,1.1102230246251565e-16,243.725849,0.6201114297700338,0.003494024627230501
10,0.651,18,18_0,6.581954370763106,25.93271740931417,18.192841627442327,73.53806997458233,100.0,0.7947994690742086,0.09784470244224357,COMPLETED,GPEI,0.10735582848354785,48.263689,0.6504718507632904,0.0034793119841825906
11,0.616,19,19_0,17.28730878331322,27.626534264078636,26.400898062952354,52.20131960525442,97.4563015986081,0.8263215854152084,0.14194883842418846,COMPLETED,GPEI,0.03172957616060312,35.742939,0.6164091423749348,0.0035018867715480508
12,0.621,20,20_0,16.152546824601426,28.10296696288759,13.796922923529495,68.9247921087487,88.82776334486861,0.8044239902034153,0.19557600979658482,COMPLETED,GPEI,0.0,203.01709,0.6213831447858172,0.0034971411068418353
13,0.616,21,21_0,14.904328354069147,25.333479620774643,29.7448796767085,75.77151792733402,98.22736404942232,0.766703886366471,0.23329611363352903,COMPLETED,GPEI,0.0,402.326665,0.6161377784761763,0.0034913232771086925
14,0.627,22,22_0,23.62094143733401,21.212223477381066,0.0020000000000021238,21.865320639789488,68.04874348341423,0.8847139780342042,0.11528602196579575,COMPLETED,GPEI,1.1102230246251565e-16,245.145767,0.6269428334945406,0.0035046116987816223
16,0.64,23,23_0,15.8790937780369,26.05760074201284,2.111465722499457,66.61525068764874,100.0,0.6830715881691443,0.3169284118308561,COMPLETED,GPEI,-4.440892098500626e-16,454.950952,0.6392036437388194,0.0031174947754622553
17,0.634,24,24_0,15.87634689041395,25.214516458308097,3.4511110171457138,67.91469373291135,100.0,0.6771218660881462,0.32287813391185377,COMPLETED,GPEI,0.0,223.995938,0.6347164159800733,0.0031170655026764695
18,0.637,25,25_0,37.86815146251741,30.334778312477443,0.002000000000001519,20.582720508896745,57.491511155734784,0.9853293052719477,0.014670694728051912,COMPLETED,GPEI,3.3306690738754696e-16,350.619259,0.637018849795665,0.0034997137121077814
19,0.65,26,26_0,28.518261888447253,30.688678154557213,0.002000000000017901,49.54631487175662,60.98255129574168,0.9304331236161243,0.06956687638387563,COMPLETED,GPEI,1.1102230246251565e-16,200.755023,0.6495748247975511,0.003501550853206201
20,0.631,27,27_0,45.05799945694021,32.72264741428166,0.002,7.255169096434904,60.07632455891591,0.9127420869204776,0.08725791307952228,COMPLETED,GPEI,1.1102230246251565e-16,236.780438,0.6308336788189596,0.0035080554855110926
21,0.643,28,28_0,21.34459803111386,18.62576024812094,10.969558584878929,21.63575778916552,97.19529797942617,0.654211877433538,0.3457881225664624,COMPLETED,GPEI,-4.440892098500626e-16,273.46861,0.6403841029068453,0.0032798111719975643
22,0.624,29,29_0,20.944896986956515,19.242778546607873,11.275067930035714,19.490817322951962,97.18705784434525,0.666584497173513,0.33341550282648846,COMPLETED,GPEI,-1.3322676295501878e-15,304.913698,0.6255888886200713,0.002425205394049154
